tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
74.683,cantopop,Sally Yeh,2zrhdM0gr9PVSkznukbALL,阿信的故事,15
74.721,classical,"Kenneth Leighton, David Cuthbert, The Choir of The Queen's College Oxford, Owen Rees, Britten Sinfonia",2BHUEsN9pQFsHVnvoROBPZ,"Veris gratia, Op. 6: VII. Hymn to Cypris",19
74.931,ambient,"Mari Samuelsen, Hakon Samuelsen, Johan Söderqvist, Uno Helmersson, TrondheimSolistene",6nQOHLEyMRpNRQZKeMskjt,"Study In Rituals, Prelude",18
74.933,pop,Rymdpojken,2DTa2kupO7EwBcVDJrENJ2,Till Solen Brinner Ut,23
74.956,jazz,"Jost Esser, Sleeping Dove, very noise person",3h641YOd617QlxVMI4u2ds,lemon soda,49
74.969,lofi,Shierro,0MFOk9fbcnp6T0jqNyMnym,Club Insomnia,38
74.973,electronic,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend",03xIKiQXopptD4Sv8ijvcG,2 Times,68
74.983,lofi,LoFi Waiter,4HQEDrFbkrVo43WTtHCoDF,Watching The Rain,53
74.987,lofi,mood.,4PCMttKgDScL8IbN59lF11,letting go,52
74.988,lofi,Aurora 10,4YzZwV3CsUsT2orcj9yTUg,Flash,50
74.988,pop,BANNERS,2f0pn9DkEJwAzXApnFh5cr,Someone To You,74
74.989,lofi,"Otaku, LoFi Waiter",738ezpBPFkPV6zZmJLicaN,One summer's day,55
74.989,rock,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,Ride,80
74.994,lofi,iasilma,5wPmobhPmZI7p0jWIBb3eT,Through the Portal,48
74.995,reggae,Slightly Stoopid,6wxGZ8D8lAuJpocaTAVVyL,This Joint,50
74.996,lofi,LVTA,4WwnDyJgETzTG7tjHdlM27,until we meet again,47
74.997,world,"Eli Skies, Dovid Gross",0FiHFslrbH8YVSyfsTCmrW,Elokai,11
75.004,lofi,Otaku,4zQ4d7cQk1aMBD7P3cuiBo,The Day (My Hero Academia),41
75.004,lofi,sellar,1H1wSRhMTiGB6cgrNQO4gw,midnight escape,51
75.005,rock,"Hurricane on Saturn, Deuce",0YiqstoUoXgePF6Oi7ySra,Monsters,46
75.007,lofi,Altair Blake,2M8MoD4yS6OZ7kccpmzM5j,Let It Flow,39
75.008,lofi,ninetytwo.,6nZIx6Ck3oNPR1L5FblIY0,the neighborhood,50
75.009,rock,Pearl Jam,1L94M3KIu7QluZe63g64rv,Alive,73
75.012,lofi,Otaku,1yPluCl0c17RcWyGjV7tw5,Aryetti's Song,53
75.013,hip-hop,Latto,1JF8LkQWZ8grXb2emqrNKn,Brokey,70
75.016,arabic,21 Savage,5eqK0tbzUPo2SoeZsov04s,Bank Account,72
75.019,world,"刘珂矣, 百慕三石",7kGm9qisHidzmrERjxpOYE,风誓 - 纯音乐,37
75.021,korean,"CHEN, BAEKHYUN, XIUMIN",7rLvsAO1yb7ElxPhkz60qh,For You,59
75.023,gaming,Creeds,3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,77
75.027,lofi,bomull,2UIfKmFnpMjSLONtCxZw7B,ottos visa,49
75.028,jazz,"Mindeliq, ØNEMOR3",40UK1Zl6X8GmezVlI6AZWg,Echoes,48
75.03,lofi,bearé,22YaZEoX2OiG5yA2O3cHDv,morning coffee,49
75.03,world,Duvie Shapiro,6bDD9MwLc9RP1DvlUCCfxh,This Is My Home,31
75.03,world,Nissim Black,3xn4mVAASBMGbaHwgfdCvE,SCREAM,22
75.031,electronic,"Niklas Dee, René Miller",47KhhDku9RLDsWIJjYaXDs,Around The World,72
75.038,rock,The Beaches,7Jc79lucvYoqo3YA44EG8f,Takes One To Know One,55
75.048,electronic,"Øneheart, reidenshi",2QJEVdIX5xuBGrDSpPjocC,distorted memories,67
75.066,electronic,"Disclosure, Eliza Doolittle, Flume",3W2ZcrRsInZbjWylOi6KhZ,You & Me - Flume Remix,70
75.082,lofi,Otaku,7E5eZ1ZGeqtIPIXIU5NceV,Marco and Gina,55
75.085,soul,Mac Ayres,5hiKumtJTCHaaWwgxdpnoD,somebody new,46
75.086,lofi,Tom Doolie,6PLpXbbUnefm7DrWaJ2Mr7,Preciso,48
75.195,electronic,Nekfeu,57I5KhEpQFC9XBgKt6nklL,On verra,64
75.198,gaming,Christopher Lennertz,21e8VPZa4lRxAt2Ra772f9,Emmett's Theme,29
75.198,jazz,"C4C, Plusma",7LV39mLX4OVV5k8csHFq8f,Call a Friend,50
75.222,lofi,Art Vandeley,2MFbMTRA9SYAZJvjv0mzbm,All downhill from here,49
75.233,latin,"C. Tangana, Paloma Mami",1KdwnsWOvhM53vezy5ROuf,No Te Debí Besar,63
75.233,lofi,Mathis,4EpMnMxqGXNfmDmEV4Uq6E,starry night,50
75.236,lofi,Ren Avel,3uwruvsS51nmOXMdWtwZHk,the WORLD (Death Note),36
