playlist_genre,track_name,track_artist,track_popularity,analysis_url
hip-hop,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",73,https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b
hip-hop,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",80,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe
hip-hop,"Crazy Story, Pt. 3",King Von,75,https://api.spotify.com/v1/audio-analysis/23TwR29GSeJBfXnXhmDlwR
hip-hop,Pure Cocaine,Lil Baby,77,https://api.spotify.com/v1/audio-analysis/577YBGuskWkVDCxZrLRB4v
hip-hop,Ambition For Cash,Key Glock,73,https://api.spotify.com/v1/audio-analysis/4mIHgQ3ofK2RK34UdbqMbe
hip-hop,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",79,https://api.spotify.com/v1/audio-analysis/3QFInJAm9eyaho5vBzxInN
hip-hop,Glock In My Lap,"21 Savage, Metro Boomin",80,https://api.spotify.com/v1/audio-analysis/6pcywuOeGGWeOQzdUyti6k
hip-hop,Run It Up (feat. Offset & Moneybagg Yo),"Lil Tjay, Offset, Moneybagg Yo",71,https://api.spotify.com/v1/audio-analysis/1dg3qy5DjoJodawfOCgrTP
hip-hop,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",70,https://api.spotify.com/v1/audio-analysis/1EJIcDYXwSqipW5dFe4uJz
hip-hop,Mask Off,Future,81,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx
hip-hop,On Me,Lil Baby,70,https://api.spotify.com/v1/audio-analysis/4Iedi94TIaB2GGb1nMB68v
hip-hop,N95,Kendrick Lamar,75,https://api.spotify.com/v1/audio-analysis/0fX4oNGBWO3dSGUZcVdVV2
hip-hop,Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",75,https://api.spotify.com/v1/audio-analysis/3ruoIF2UnoXdzK8mR61ebq
hip-hop,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",78,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u
hip-hop,Mask Off,Future,81,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx
hip-hop,Imagina esse Cenário,"Matuê, Veigh",75,https://api.spotify.com/v1/audio-analysis/2fjqfFUq64thFsqfKN01kS
hip-hop,Yes Indeed,"Lil Baby, Drake",75,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ
hip-hop,Wake Up & Bake Up,"Duki, Wiz Khalifa, Arcángel",72,https://api.spotify.com/v1/audio-analysis/7MBHncxZXB7fzf5cAx8C05
hip-hop,Diablita (feat. Anuel AA & Baby Rasta),"Trap Capos, Noriel, Anuel AA, Baby Rasta",70,https://api.spotify.com/v1/audio-analysis/62NeZ2Vtrz5HgtQibleMNs
hip-hop,Love Sosa,Chief Keef,77,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1
hip-hop,Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",70,https://api.spotify.com/v1/audio-analysis/0M9ydKzuF3oZTfYYPfaGX1
hip-hop,That Go! (feat. T-Shyne),"Young Stoner Life, Young Thug, Meek Mill, T-Shyne",72,https://api.spotify.com/v1/audio-analysis/6rUmUJ2drFemHTH73bFAKQ
hip-hop,Like That,"Future, Metro Boomin, Kendrick Lamar",83,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf
